Category,Feature,Description,Why it matters (interview/engineering depth),Abroad-role relevance,Effort (S/M/L),Priority (P0/P1/P2),Status
Payments,Multi-vendor payment support,"Stripe Connect (or Razorpow/PayPal marketplace equiv) so each org/tutor can receive payouts, platform takes a cut","Marketplace payments = ledger correctness, split payouts, refund/chargeback handling",High,L,P1,Planned (yours)
Payments,Idempotent payment webhooks,"Webhook signature verification + idempotency key so a retried Stripe event never double-charges or double-pays out","Same idempotency pattern you already used for LiveKit egress — reuse and name it explicitly",High,M,P0,Not started
Payments,Payment reconciliation job,"Nightly job comparing internal ledger vs provider's records, flags drift","Shows you understand money can silently drift without reconciliation",High,M,P2,Not started
Payments,Invoicing / tax handling,"Generate invoices per transaction, basic tax-region awareness","Enterprise/EU buyers expect this; shows domain completeness",Medium,M,P2,Not started
Notifications,Unified notification service,"Single service fanning out to email/SMS/push from one call site, instead of ad-hoc mailer.Send() scattered across modules","Shows you can abstract a cross-cutting concern instead of duplicating it per module",High,M,P1,Planned (yours)
Notifications,Mobile push notifications,"FCM/APNs integration for lecture start, recording ready, assignment due, etc.","Real mobile infra experience — device tokens, delivery receipts, retry semantics",High,M,P1,Planned (yours)
Notifications,In-app notification center,"Bell icon + notification feed backed by a table, read/unread state","Full-stack feature: DB design + real-time-ish UI, easy to demo in an interview",Medium,S,P2,Not started
Notifications,User notification preferences,"Per-user opt-in/out per channel per event type (email vs push vs none)","Shows you think about UX + GDPR-adjacent consent, not just \"send everything\"",Medium,S,P2,Not started
Event-Driven Architecture,Redis Streams / pub-sub for notifications,"Replace direct synchronous notification calls with an event bus: services publish domain events, a consumer fans out notifications","This is the single highest-leverage item on your list — it's the actual 'distributed systems' story for interviews",High,L,P0,Planned (yours)
Event-Driven Architecture,Outbox pattern for reliable event publishing,"Write domain event to an outbox table in the same DB transaction as the business write, a poller publishes to Redis Streams","Solves the classic 'DB commit succeeded but event publish failed' bug — a real distributed-systems interview topic",High,M,P0,Not started
Event-Driven Architecture,Dead-letter handling for failed consumers,"Failed stream messages after N retries land in a DLQ stream for inspection/replay","Shows operational maturity, not just happy-path pub/sub",High,S,P1,Not started
